financial,follow_cnt,followers_cnt,gender,status_cnt,verified_reason
False,3,1268009,f,1866,美国/流行/行天/后///小甜甜/甜甜/布兰/布兰妮///斯皮尔/斯皮尔斯/皮尔斯/尔斯
False,235,4681887,m,2809,台湾/台湾歌手/歌手
False,817,5635609,m,2086,演员
False,184,4564284,f,1485,香港/演员/邓萃雯
False,81,73126,m,185,歌手////演/員////主持/主持人
False,740,84597,m,9553,知名/电影/摄影/摄影师///导演///监制///制作/制作人/作人/郝/攻///作品///京华/烟云////雪/后////爱/在/生命/的/边缘///等
False,342,12168563,f,7694,香港/知名/演/員/蔡少芬///曾/演出/不少/佳作///洛神/////珠光/寶/氣///等
False,410,35280850,f,2049,知名/女演员/演员
False,585,9396195,f,6168,香港/香港艺人/艺人
False,99,2468403,m,796,台/艺人/贺军翔
False,160,267018,f,1156,//小/娟/与/山谷/里/的/居民///乐队
False,680,1917416,m,673,米/未/传媒/CEO
False,588,432624,f,3592,主持/主持人/李/霞
False,6,193448,f,95,韩国/国歌/歌手///演员///歌曲/代表/代表作/有///疯/掉////半////给/你////换掉////哇///等///影视/影视剧/代表/代表作/有///美丽/的/日子/////死亡/功课/////美丽/心灵///等
False,193,920370,m,126,内地/著名/笑星///演员/范/伟
False,275,3537191,m,379,知名/名歌/名歌手/歌手
False,547,20645670,m,3953,香港/全能/艺人
False,63,19268844,m,1750,国际/著名/钢琴/钢琴家/琴家///重庆/政协/常委///全国/全国青联/青联/常委///香港/青联/副/主席
False,9,1943018,f,53,韩国/女演员/演员/尹恩惠/恩惠///作品///想/你/////宫///等//
False,192,3715092,m,411,歌手///演员///代表/代表作//What/s/Your/Number//
False,50,2269312,f,324,演员
False,200,52063477,f,909,演员/刘亦菲
False,293,30372834,m,1090,演员/杨/洋
False,380,636056,m,761,演员/廖/凡
False,320,15312575,f,1954,演员/王/丽/坤
False,1857,1000543,m,2536,知名/名歌/名歌手/歌手/齐/秦
False,11,885622,m,944,韩国/国人/人气/男子/男子组/组合/Super/Junior
False,198,1946389,m,3021,演员///第六/第六届/六届/华/鼎/奖///第十/第十八/第十八届/十八/八届/白玉/白玉兰/玉兰/奖///老百姓/百姓/最/喜爱/十佳/电视/明星
False,104,815027,f,1186,演员/郭晋安/晋安////欧/倩/怡/夫妇
False,15,59468,f,75,韩国/女演员/演员///曾/出演///威尼/威尼斯/尼斯/恋人////梦精记/2//等
False,106,1930101,f,1361,韩国/当红/歌手
False,205,905580,f,892,演员///曾/获/电影/金鸡/金鸡奖///华表/华表奖/双料/影后
False,150,629222,f,2082,演员
False,1862,52532100,m,959,知名/知名演员/名演员/演员/刘/烨
False,310,3740105,f,856,香港/演员
False,78,1776358,f,421,香港/歌手/林忆莲
False,36,7314102,m,698,影星
False,437,4115314,f,2169,演员///代表/代表作///家常/家常菜//09/年/拍摄/电影///台北/飘雪///入围/东京/电影/电影节
False,1346,7307320,f,2517,//神话///中/的/吕/素////星月/神话///的/演唱/演唱者/及/创作/创作者/作者//
False,607,4267568,f,2489,演员/张/嘉/倪///在/电视/电视剧///又/见/一/帘/幽梦///中/饰演/汪/紫/菱//
False,0,1593472,m,1038,香港/演员/员林/林保怡
False,332,17235645,m,4242,知名/名歌/名歌手/歌手/演员
False,100,6278881,f,535,影视/影视明星/明星/赵雅芝
False,331,3161333,f,61,演员/李/念////蜗居///中/饰演///海藻//
False,317,5002637,f,386,演员/杨/子/姗
False,121,7406805,m,1189,香港/知名/名导/导演/王/晶
False,35,746952,f,321,韩国/女子/女子组/组合/T/ara//成员///孝/敏
False,511,6990040,f,3846,秦/岚///著名/著名演员/名演员/演员///代表/代表作/代表作品/作品///电视/电视剧///还珠格格/格格/////又/见/一/帘/幽梦////电影///南京/京南/南京/////王/的/盛宴//
False,403,988969,f,2857,香港/著名/名歌/名歌手/歌手///音乐/音乐人
False,338,13383253,f,2082,知名/名歌/名歌手/歌手/萧亚轩
False,138,198152,m,666,香港/歌手///草蜢/成/員/蔡/一/杰
False,300,789289,m,1021,歌手///演员
False,524,3899471,m,4762,央视/主持/主持人
False,301,243529,m,2519,台湾/台湾歌手/歌手///音乐/音乐创作/创作/作人///电影/电影演员/演员
False,427,19403482,m,2905,欢娱/影视/签约/演员///作品///神雕侠侣/侠侣////宫/锁/沉香////陆/贞/传奇///等
False,286,155717,f,2372,香港/TVB/演员
